index,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,Box +/-
1,Joel Embiid,PHI,28,68,45,23,33.8,30.6,9.8,19.6,49.9,1.4,3.7,37.1,9.6,11.8,81.4,2.1,9.6,11.7,4.2,3.1,1.1,1.5,2.7,55.5,46,2,5.4
2,LeBron James,LAL,37,56,25,31,37.2,30.3,11.4,21.8,52.4,2.9,8,35.9,4.5,6,75.6,1.1,7.1,8.2,6.2,3.5,1.3,1.1,2.2,53,21,6,-2.1
3,Giannis Antetokounmpo,MIL,27,67,45,22,32.9,29.9,10.3,18.6,55.3,1.1,3.6,29.3,8.3,11.4,72.2,2,9.6,11.6,5.8,3.3,1.1,1.4,3.2,56.5,46,4,5.9
4,Kevin Durant,BKN,33,55,36,19,37.2,29.9,10.5,20.3,51.8,2.1,5.5,38.3,6.8,7.4,91,0.5,6.9,7.4,6.4,3.5,0.9,0.9,2.1,50.3,18,4,4.9
5,Luka Doncic,DAL,23,65,44,21,35.4,28.4,9.9,21.6,45.7,3.1,8.8,35.3,5.6,7.5,74.4,0.9,8.3,9.1,8.7,4.5,1.2,0.6,2.2,53.1,44,10,2.2
6,Trae Young,ATL,23,76,40,36,34.9,28.4,9.4,20.3,46,3.1,8,38.2,6.6,7.3,90.4,0.7,3.1,3.7,9.7,4,0.9,0.1,1.7,46.5,42,0,2.1
7,DeMar DeRozan,CHI,32,76,43,33,36.1,27.9,10.2,20.2,50.4,0.7,1.9,35.2,6.8,7.8,87.7,0.7,4.4,5.2,4.9,2.4,0.9,0.3,2.3,42.7,6,0,1
8,Kyrie Irving,BKN,30,29,14,15,37.6,27.4,10,21.2,46.9,3.4,8.2,41.8,4.1,4.4,91.5,0.6,3.8,4.4,5.8,2.5,1.4,0.6,2.8,44.8,2,0,4.2
9,Ja Morant,MEM,22,57,36,21,33.1,27.4,10.2,20.6,49.3,1.5,4.5,34.4,5.5,7.3,76.1,1.4,4.4,5.7,6.7,3.4,1.2,0.4,1.5,45.6,10,1,3.3
10,Nikola Jokic,DEN,27,74,46,28,33.5,27.1,10.3,17.7,58.3,1.3,3.9,33.7,5.1,6.3,81,2.8,11,13.8,7.9,3.8,1.5,0.9,2.6,58.6,66,19,6
11,Jayson Tatum,BOS,24,76,49,27,35.9,26.9,9.3,20.6,45.3,3,8.6,35.3,5.3,6.2,85.3,1.1,6.9,8,4.4,2.9,1,0.6,2.3,45.2,22,0,8.8
12,Devin Booker,PHX,25,68,56,12,34.5,26.8,9.7,20.9,46.6,2.7,7,38.3,4.6,5.3,86.8,0.7,4.4,5,4.8,2.4,1.1,0.4,2.6,42.2,5,0,6.9
13,Donovan Mitchell,UTA,25,67,41,26,33.8,25.9,9.2,20.5,44.8,3.5,9.8,35.5,4,4.7,85.3,0.8,3.4,4.2,5.3,3,1.5,0.2,2.4,40.9,3,0,4.1
14,Stephen Curry,GSW,34,64,45,19,34.5,25.5,8.4,19.1,43.7,4.5,11.7,38,4.3,4.7,92.3,0.5,4.7,5.2,6.3,3.2,1.3,0.4,2,43.1,12,2,8
15,Karl-Anthony Towns,MIN,26,74,44,30,33.5,24.6,8.7,16.4,52.9,2,4.9,41,5.2,6.3,82.2,2.6,7.2,9.8,3.6,3.1,1,1.1,3.6,45,40,1,3.7
16,Shai Gilgeous-Alexander,OKC,23,56,16,40,34.7,24.5,8.5,18.8,45.3,1.6,5.3,30,5.9,7.2,81,0.7,4.3,5,5.9,2.8,1.3,0.8,2.5,42.8,6,1,-4.7
17,Zach LaVine,CHI,27,67,37,30,34.7,24.4,8.4,17.7,47.6,2.8,7.1,38.9,4.8,5.6,85.3,0.3,4.3,4.6,4.5,2.6,0.6,0.3,1.8,37,0,0,-0.4
18,Paul George,LAC,32,31,18,13,34.8,24.3,8.6,20.5,42.1,2.9,8.3,35.4,4.1,4.8,85.8,0.4,6.5,6.9,5.7,4.1,2.2,0.4,2.4,44.8,7,0,3
19,Damian Lillard,POR,31,29,12,17,36.4,24,7.7,19,40.2,3.2,9.8,32.4,5.5,6.2,87.8,0.4,3.7,4.1,7.3,2.9,0.6,0.4,1.3,39.9,8,0,-1
20,Jaylen Brown,BOS,25,66,43,23,33.6,23.6,8.7,18.4,47.3,2.5,7,35.8,3.7,4.8,75.8,0.8,5.3,6.1,3.5,2.7,1.1,0.3,2.5,37.5,11,2,6.9
21,Bradley Beal,WAS,29,40,17,23,36,23.2,8.7,19.3,45.1,1.6,5.3,30,4.2,5.1,83.3,1,3.8,4.7,6.6,3.4,0.9,0.4,2.4,39.3,4,0,-2.6
22,Anthony Davis,LAL,29,40,17,23,35.1,23.2,9.3,17.4,53.2,0.3,1.8,18.6,4.4,6.1,71.3,2.7,7.2,9.9,3.1,2.1,1.2,2.3,2.4,47.9,19,0,-2.3
23,De'Aaron Fox,SAC,24,59,22,37,35.3,23.2,8.7,18.5,47.3,1.3,4.2,29.7,4.4,5.9,75,0.4,3.5,3.9,5.6,2.8,1.2,0.4,2.9,38.1,5,0,-3.3
24,Pascal Siakam,TOR,28,68,40,28,37.9,22.8,8.8,17.8,49.4,1.1,3.2,34.4,4.2,5.6,74.9,1.9,6.6,8.5,5.3,2.7,1.3,0.6,3.3,43.9,30,2,3.8
25,Brandon Ingram,NOP,24,55,29,26,34,22.7,8.2,17.9,46.1,1.3,4.1,32.7,4.8,5.9,82.6,0.6,5.2,5.8,5.6,2.7,0.6,0.5,2.2,38.5,7,0,2.2
26,CJ McCollum,NOP,30,62,28,34,34.6,22.1,8.6,18.8,46,2.9,7.6,38.8,1.9,2.7,68.2,0.9,3.5,4.3,5.1,2,1.1,0.4,2,37.3,3,0,-1.1
27,James Harden,PHI,32,65,40,25,37.2,22,6.3,15.3,41,2.3,6.9,33,7.2,8.2,87.7,0.8,6.8,7.7,10.3,4.4,1.3,0.6,2.4,47.7,42,11,2.7
28,Darius Garland,CLE,22,68,37,31,35.7,21.7,8,17.3,46.2,2.6,6.7,38.3,3.2,3.5,89.2,0.6,2.7,3.3,8.6,3.6,1.3,0.1,1.7,39.1,29,1,5.5
29,Jimmy Butler,MIA,32,57,38,19,33.9,21.4,7,14.5,48,0.5,2,23.3,6.9,8,87,1.8,4.1,5.9,5.5,2.1,1.6,0.5,1.5,40.9,12,4,4.3
30,Anthony Edwards,MIN,20,72,39,33,34.2,21.3,7.6,17.3,44.1,3,8.4,35.7,3.1,3.9,78.6,0.9,3.9,4.8,3.8,2.6,1.5,0.6,2.3,36.4,4,0,2.6
31,Dejounte Murray,SAS,25,68,30,38,34.8,21.1,8.4,18.3,46.2,1.4,4.3,32.7,2.9,3.6,79.4,1.2,7.1,8.3,9.2,2.6,2,0.3,2,49.4,39,13,0.7
32,Tyler Herro,MIA,22,66,44,22,32.6,20.7,7.6,17,44.7,2.7,6.7,39.9,2.9,3.3,86.8,0.5,4.5,5,4,2.6,0.7,0.1,1.4,32.4,3,0,3.6
33,Klay Thompson,GSW,32,32,17,15,29.4,20.4,7.7,17.9,42.9,3.6,9.3,38.5,1.4,1.6,90.2,0.5,3.4,3.9,2.8,1.3,0.5,0.5,1.7,30.9,0,0,2.1
34,Fred VanVleet,TOR,28,65,39,26,37.9,20.3,6.8,16.9,40.3,3.7,9.9,37.7,3,3.4,87.4,0.7,3.8,4.4,6.7,2.6,1.7,0.5,2.5,39.8,10,1,3.3
35,Kristaps Porzingis,WAS,26,51,26,25,29,20.2,6.9,15,45.9,1.5,4.9,31,4.9,5.6,86.7,2,6.1,8.1,2.3,1.6,0.7,1.6,2.7,38.9,15,0,0.6
36,Miles Bridges,CHA,24,80,41,39,35.5,20.2,7.5,15.2,49.1,1.9,5.8,33.1,3.3,4.2,80.2,1.1,5.9,7,3.8,1.9,0.9,0.8,2.4,37.6,15,0,1.8
37,LaMelo Ball,CHA,20,75,39,36,32.3,20.1,7.2,16.7,42.9,2.9,7.5,38.9,2.8,3.2,87.2,1.4,5.2,6.7,7.6,3.3,1.6,0.4,3.2,42.2,23,5,1.3
38,Julius Randle,NYK,27,72,32,40,35.3,20.1,7.1,17.3,41.1,1.7,5.4,30.8,4.2,5.6,75.6,1.7,8.2,9.9,5.1,3.4,0.7,0.5,2.8,40.2,31,1,-2.3
39,Khris Middleton,MIL,30,66,44,22,32.4,20.1,6.8,15.5,44.3,2.5,6.6,37.3,3.9,4.4,89,0.6,4.8,5.4,5.4,2.9,1.2,0.3,2.4,36.1,4,0,4.6
40,RJ Barrett,NYK,22,70,33,37,34.5,20,7,17.1,40.8,2,5.8,34.2,4.1,5.8,71.4,0.9,4.9,5.8,3,2.2,0.6,0.2,2,31.9,4,0,-2.1
41,Terry Rozier,CHA,28,73,38,35,33.7,19.3,7.1,16,44.4,3,8.1,37.4,2.1,2.4,85.2,0.8,3.5,4.3,4.5,1.3,1.3,0.3,1.6,34.7,3,1,1
42,Jerami Grant,DET,28,47,11,36,31.9,19.2,6.3,14.9,42.6,1.9,5.4,35.8,4.6,5.5,83.8,0.6,3.5,4.1,2.4,1.8,0.9,1,2.3,31.8,1,0,-4.7
43,Malcolm Brogdon,IND,29,36,14,22,33.5,19.1,6.8,15.1,44.8,1.6,5.2,31.2,4,4.6,85.6,0.9,4.2,5.1,5.9,2.1,0.8,0.4,2,35.6,6,1,0
44,Bam Adebayo,MIA,24,56,36,20,32.6,19.1,7.3,13,55.7,0,0.1,0,4.6,6.1,75.3,2.4,7.6,10.1,3.4,2.6,1.4,0.8,3.1,40.2,27,0,5.4
45,Norman Powell,LAC,29,45,15,30,32.4,19,6.2,13.4,46.1,2.4,5.6,41.9,4.2,5.2,81.1,0.4,2.8,3.2,2.1,1.5,0.9,0.5,2.4,28.7,0,0,-4.9
