PLAYER,GP,W,L,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,Box +/-,index_y,age,player_height,player_weight,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct
Fred VanVleet,65.0,39.0,26.0,37.9,20.3,6.8,16.9,40.3,3.7,9.9,37.7,3.0,3.4,87.4,0.7,3.8,4.4,6.7,2.6,1.7,0.5,2.5,39.8,10.0,1.0,3.3,10299.4,28.0,183.89600000000002,88.8133136,56.6,11.940000000000001,2.82,4.359999999999999,7.88,0.013600000000000001,0.09979999999999997,0.205,0.525,0.2398
Gary Trent Jr.,70.0,44.0,26.0,35.0,18.3,6.400000000000001,15.5,41.4,3.0,7.8,38.3,2.5,2.9,85.3,0.4000000000000001,2.4,2.7000000000000006,2.0,1.0,1.7,0.3,2.1,29.600000000000005,0.0,0.0,2.4,10649.333333333334,23.0,196.42666666666665,94.19593866666668,44.666666666666664,8.966666666666667,1.6333333333333335,0.9,-2.6333333333333333,0.013666666666666634,0.067,0.18899999999999997,0.4993333333333334,0.06266666666666666
Giannis Antetokounmpo,67.0,45.0,22.0,32.9,29.9,10.3,18.6,55.3,1.1,3.6,29.3,8.3,11.4,72.2,2.0,9.6,11.6,5.8,3.3,1.1,1.4,3.2,56.5,46.0,4.0,5.9,9803.285714285714,27.0,210.82,104.26136114285714,73.14285714285714,23.52857142857143,10.042857142857143,4.928571428571429,5.785714285714286,0.056142857142857126,0.24157142857142855,0.28657142857142853,0.6007142857142858,0.24828571428571425
Ja Morant,57.0,36.0,21.0,33.1,27.4,10.2,20.6,49.3,1.5,4.5,34.4,5.5,7.3,76.1,1.4,4.4,5.7,6.7,3.4,1.2,0.4,1.5,45.6,10.0,1.0,3.3,10969.5,22.0,190.5,78.92500799999999,65.0,18.450000000000003,3.95,7.35,1.0,0.025500000000000002,0.0905,0.2615,0.5465,0.3375
James Harden,65.0,40.0,25.0,37.2,22.0,6.3,15.3,41.0,2.3,6.9,33.0,7.2,8.2,87.7,0.8,6.8,7.7,10.3,4.4,1.3,0.6,2.4,47.7,42.0,11.0,2.7,9838.714285714286,32.0,195.58,100.11423428571428,72.28571428571429,30.12857142857143,6.628571428571428,8.614285714285714,5.471428571428571,0.024857142857142845,0.16242857142857142,0.33814285714285713,0.6135714285714285,0.40714285714285714
Jaylen Brown,66.0,43.0,23.0,33.6,23.6,8.7,18.4,47.3,2.5,7.0,35.8,3.7,4.8,75.8,0.8,5.3,6.1,3.5,2.7,1.1,0.3,2.5,37.5,11.0,2.0,6.9,10296.0,25.0,199.644,101.2417344,67.4,15.819999999999999,4.86,1.86,3.3200000000000003,0.0332,0.13540000000000002,0.22820000000000001,0.5634,0.0988
Jayson Tatum,76.0,49.0,27.0,35.9,26.9,9.3,20.6,45.3,3.0,8.6,35.3,5.3,6.2,85.3,1.1,6.9,8.0,4.4,2.9,1.0,0.6,2.3,45.2,22.0,0.0,8.8,10509.5,24.0,203.2,94.46053400000001,72.25,19.85,6.35,2.75,6.825,0.024249999999999976,0.162,0.247,0.5690000000000001,0.1295
Jerami Grant,47.0,11.0,36.0,31.9,19.2,6.3,14.9,42.6,1.9,5.4,35.8,4.6,5.5,83.8,0.6,3.5,4.1,2.4,1.8,0.9,1.0,2.3,31.8,1.0,0.0,-4.7,9832.0,28.0,204.28857142857143,96.55029714285715,72.57142857142857,11.114285714285714,3.9285714285714284,1.3285714285714287,-2.6714285714285713,0.03514285714285714,0.12228571428571429,0.17657142857142855,0.554,0.07899999999999999
Jimmy Butler,57.0,38.0,19.0,33.9,21.4,7.0,14.5,48.0,0.5,2.0,23.3,6.9,8.0,87.0,1.8,4.1,5.9,5.5,2.1,1.6,0.5,1.5,40.9,12.0,4.0,4.3,9851.0,32.0,201.3857142857143,103.61337257142857,63.142857142857146,21.014285714285712,5.928571428571429,5.085714285714286,4.085714285714286,0.04842857142857142,0.12228571428571426,0.24185714285714285,0.5834285714285714,0.23057142857142857
Joel Embiid,68.0,45.0,23.0,33.8,30.6,9.8,19.6,49.9,1.4,3.7,37.1,9.6,11.8,81.4,2.1,9.6,11.7,4.2,3.1,1.1,1.5,2.7,55.5,46.0,2.0,5.4,10345.2,28.0,213.36000000000004,118.841104,52.0,24.419999999999998,10.92,2.96,7.94,0.0828,0.26539999999999997,0.33740000000000003,0.5952,0.175
